,initial_investment,subsequent_investment,total_net_assets,year_to_date_return,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,fund_yield,morningstar_overall_rating,morningstar_risk_rating,last_dividend,last_cap_gain,annual_holdings_turnover,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,fund_prospectus_net_expense_ratio,fund_prospectus_gross_expense_ratio,fund_max_12b1_fee,fund_max_front_end_sales_load,category_max_front_end_sales_load,fund_max_deferred_sales_load,category_max_deferred_sales_load,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,asset_cash,asset_stocks,asset_bonds,asset_others,asset_preferred,asset_convertible,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,category_price_book_ratio,fund_price_cashflow_ratio,category_price_cashflow_ratio,fund_price_earning_ratio,category_price_earning_ratio,fund_price_sales_ratio,category_price_sales_ratio,fund_median_market_cap,category_median_market_cap,fund_year3_earnings_growth,category_year3_earnings_growth,fund_bond_maturity,category_bond_maturity,fund_bond_duration,category_bond_duration,fund_bonds_us_government,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_b,fund_bonds_below_b,fund_bonds_others,top10_holdings_total_assets,morningstar_return_rating,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_last_bull_market,category_return_last_bull_market,fund_return_last_bear_market,category_return_last_bear_market,years_up,years_down,fund_return_2020,category_return_2020,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,fund_return_2009,category_return_2009,fund_return_2008,category_return_2008,fund_return_2007,category_return_2007,fund_return_2006,category_return_2006,fund_return_2005,category_return_2005,fund_return_2004,category_return_2004,fund_return_2003,category_return_2003,fund_return_2002,category_return_2002,fund_return_2001,category_return_2001,fund_return_2000,category_return_2000,quarters_up,quarters_down,fund_return_2021_q3,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,fund_return_2020_q1,fund_return_2019_q4,fund_return_2019_q3,fund_return_2019_q2,fund_return_2019_q1,fund_return_2018_q4,fund_return_2018_q3,fund_return_2018_q2,fund_return_2018_q1,fund_return_2017_q4,fund_return_2017_q3,fund_return_2017_q2,fund_return_2017_q1,fund_return_2016_q4,fund_return_2016_q3,fund_return_2016_q2,fund_return_2016_q1,fund_return_2015_q4,fund_return_2015_q3,fund_return_2015_q2,fund_return_2015_q1,fund_return_2014_q4,fund_return_2014_q3,fund_return_2014_q2,fund_return_2014_q1,fund_return_2013_q4,fund_return_2013_q3,fund_return_2013_q2,fund_return_2013_q1,fund_return_2012_q4,fund_return_2012_q3,fund_return_2012_q2,fund_return_2012_q1,fund_return_2011_q4,fund_return_2011_q3,fund_return_2011_q2,fund_return_2011_q1,fund_return_2010_q4,fund_return_2010_q3,fund_return_2010_q2,fund_return_2010_q1,fund_return_2009_q4,fund_return_2009_q3,fund_return_2009_q2,fund_return_2009_q1,fund_return_2008_q4,fund_return_2008_q3,fund_return_2008_q2,fund_return_2008_q1,fund_return_2007_q4,fund_return_2007_q3,fund_return_2007_q2,fund_return_2007_q1,fund_return_2006_q4,fund_return_2006_q3,fund_return_2006_q2,fund_return_2006_q1,fund_return_2005_q4,fund_return_2005_q3,fund_return_2005_q2,fund_return_2005_q1,fund_return_2004_q4,fund_return_2004_q3,fund_return_2004_q2,fund_return_2004_q1,fund_return_2003_q4,fund_return_2003_q3,fund_return_2003_q2,fund_return_2003_q1,fund_return_2002_q4,fund_return_2002_q3,fund_return_2002_q2,fund_return_2002_q1,fund_return_2001_q4,fund_return_2001_q3,fund_return_2001_q2,fund_return_2001_q1,fund_return_2000_q4,fund_return_2000_q3,fund_return_2000_q2,fund_return_2000_q1,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years,fund_return_category_rank_ytd,fund_return_category_rank_1month,fund_return_category_rank_3months,fund_return_category_rank_1year,fund_return_category_rank_3years,fund_return_category_rank_5years,load_adj_return_1year,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_peer_count,esg_score,peer_esg_min,peer_esg_avg,peer_esg_max,environment_score,peer_environment_min,peer_environment_avg,peer_environment_max,social_score,peer_social_min,peer_social_avg,peer_social_max,governance_score,peer_governance_min,peer_governance_avg,peer_governance_max
initial_investment,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsequent_investment,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_net_assets,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year_to_date_return,,,,1.0,,,,0.6695393621968325,,,,,,0.5980785360085478,,,,,,,,,,,,,0.6099445624750307,,,,,,,0.6393716162297307,-0.6046786302542885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999967923106663,0.7889466179346608,,,,0.7462579072712568,0.8634576561644068,0.6180187805321761,,,0.5088820588365214,0.5161638157498892,0.6019222524592783,0.5738743750772929,0.7101154995387144,0.712602848484196,-0.6078708613524801,-0.6118203820904097,,,,,0.5681046903124545,0.6194009816128315,,,,,,,,,,,0.6593730798173623,0.6764806154590048,,,,,0.5154221419475222,0.5428484835964149,,,-0.6341748518988378,-0.5623924387014416,,,,,,,0.5237279317571537,,0.5544311143612414,,-0.5995120734699186,-0.5889228475816805,,,,,,,,0.7145316966971657,0.8066786592903735,0.6159356402824924,,,-0.6559908126834018,,,,0.586332200775582,-0.6992580953089769,,,,0.5433875720418975,,,,0.5754137333775042,,,,,,,,,,,,0.6750917118923266,,,0.6939494242337622,,,,0.5620688562548269,0.7345358136233231,-0.5941913178186353,,,0.7008901828215611,,-0.5850301119176885,,,0.6183480998335886,,-0.5175936479667869,-0.6924072283637134,,,,-0.5255930621119485,,,,,,,,,,,,0.6111505885544422,,,,0.64503148558008,,0.6017559940400993,,,-0.6683050146795521,-0.5039804543128324,,0.5018089901787997,,,,,,,,,,0.5275963753369258,,0.6511934379165124,,,,,0.5577156010764887,,0.6328101693907983,,,,,0.6254160108311732,,0.5764557930588384,,,,,,,,,0.7721838861306527,,,0.5819066462755421,,,,,,,,,,,,,,,,,,,
day50_moving_average,,,,,1.0,0.9991952038468352,0.9265030881556943,,0.9980613315625261,-0.6635164797824366,,0.9954060379261017,0.9025642518474306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day200_moving_average,,,,,0.9991952038468352,1.0,0.9210218431335533,,0.9980243998716571,-0.6763536361809133,,0.9972736979873073,0.8895056604300795,,,,,,0.6155174131672543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week52_high_low_change,,,,,0.9265030881556943,0.9210218431335533,1.0,,0.9408382667195941,-0.7742080136967254,,0.8940643424067827,0.9555280838082325,,,,,,0.8971520970386977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week52_high_low_change_perc,,,,0.6695393621968325,,,,1.0,,,-0.6207211693624071,,,0.6633711922073152,,,,,0.5741047278604103,,,,,,,0.5077600564379757,0.7117021249532942,,,,,,,0.7484521182686115,-0.76925027714551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6692573008559627,0.7062776776322113,,,,0.652386737587208,0.7592229456970523,0.7557362979772546,,0.6202760640680158,,0.6894237034156426,,0.6007998543434787,0.6334437673939011,0.6738368295401662,-0.6660540877893962,-0.6896127718520358,,,,,0.6184846164859722,0.7493031147235159,,-0.5969195609266872,,0.5586099792805813,,,,,,,0.598874315232188,0.6466582377008993,,,,,0.5040171745658192,0.6876528616674799,,,-0.5921354935764164,-0.6898837391166047,,,,,,,,0.5554067154350782,0.6558276427416067,0.7061243797225684,-0.5876256974256999,-0.6446648585144897,,,,,,,,0.7256474400325007,0.5654001748125195,0.677126679026778,,0.6392626846774786,-0.5800572064706702,0.5917316794734215,,,0.6506133420765678,-0.6948982308268201,,,,0.5847655634931117,,,,,,,,,-0.546775391286787,,,,,,,0.5452156892073161,0.5319462876315617,,0.5492829560840748,,,-0.5327136053485365,0.5461012979764865,0.5438866475742569,-0.6134095842470126,,,0.6869715498501022,,-0.5286787933094031,,,,,,-0.6412204038637477,,,,,,,,0.5185209834292279,,,,,,,,0.6541004912741745,,,,0.6895111510009707,,0.6614660384727331,,,-0.6939592700390684,,,0.6168276766610241,-0.5624055834777056,,,,,,,,,0.5733745927067377,,0.8641148482689104,,,,,0.6085775864590567,,0.8686135384080087,,,,,0.5459401029067183,,0.8616387390456469,,,,,,,,,0.7631740597413093,,0.5509422777903377,,,,,,,,,,,,,,,,,,,,
week52_high,,,,,0.9980613315625261,0.9980243998716571,0.9408382667195941,,1.0,-0.7015643124830051,,0.9929565924961992,0.9036336569633627,,,,,,0.8255048081066187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week52_high_change,,,,,-0.6635164797824366,-0.6763536361809133,-0.7742080136967254,,-0.7015643124830051,1.0,0.5981484548819472,-0.6567570131009892,-0.5989712149224942,,,,,,-0.9600909306170733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
