,initial_investment,subsequent_investment,total_net_assets,year_to_date_return,week52_high,week52_low,fund_yield,morningstar_overall_rating,morningstar_risk_rating,annual_holdings_turnover,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,asset_cash,fund_sector_basic_materials,fund_sector_utilities,fund_sector_technology,fund_sector_real_estate,fund_sector_industrials,fund_sector_healthcare,fund_sector_financial_services,fund_sector_energy,fund_sector_consumer_defensive,fund_sector_consumer_cyclical,fund_sector_communication_services,fund_price_earning_ratio,fund_price_sales_ratio,fund_year3_earnings_growth,fund_bond_maturity,morningstar_return_rating,fund_return_ytd,fund_return_3years,fund_return_5years,fund_return_10years,environment_score,esg_score,sustainability_rank,governance_score
initial_investment,1.0,-0.0013119904475962013,0.1736466612611858,-0.011603769519668634,0.055236618664216586,0.06000284882424572,-0.0054412405239145185,-0.008588135132990922,-0.024278788076153045,-0.009935177553176555,-0.06343096734692327,-0.032009176055849665,-0.02207118496429543,-0.029881253447211376,-0.02135306715238382,-0.0028748026596956758,0.003010482421429245,-0.0030377847442919145,0.015643925088636785,-0.004201522943250891,0.004007377690573976,0.004236522870787022,0.010728274288576103,-0.005276025569001912,0.006831133373015208,0.013318361435438566,0.011008445724639972,0.00933687965888243,-0.0005653685815980331,0.008606681816561558,-0.014360955161640362,-0.00907041012654168,-0.01160749380372129,-0.02700113219816039,-0.03447622634817058,-0.02870910527108396,-0.008533109404030745,-0.014529347492230435,-0.009764565907282622,-0.0065618539511115796
subsequent_investment,-0.0013119904475962013,1.0,-0.006295319139703426,-0.014695509017696784,-0.013118077478503774,-0.013721700016190027,0.021454085381466814,-0.0031238200468189136,0.006102786631070151,0.0072201738454315415,0.0007676217926432383,0.01398134367952086,-0.005467191861555195,-0.003790788992801275,-0.0007745760807097565,-0.0010916224564443621,-0.010169050819953384,-0.006579474728303558,-0.02337375133872308,0.004055093238057563,-0.021602305822630837,-0.020458112105706906,-0.004522555993965167,0.01994180002089481,-0.01391147674694896,-0.018263243654366223,-0.015808836773547226,-0.02944120709753957,-0.01632791344747113,-0.006161660679854862,-0.013794863914361138,-0.0013247549292426896,-0.014701297313463563,-0.015892352231067712,-0.007858249831614646,-0.014875102093417589,-0.027215208226210937,-0.02483641137329087,-0.021259194190471724,-0.029368412975942403
total_net_assets,0.1736466612611858,-0.006295319139703426,1.0,0.020509446668356794,0.21877706290651983,0.23609756105458937,-0.01639864284504449,0.11171348674986209,-0.02743513589647689,-0.01525736653029473,-0.11183389215001976,-0.020264681316315952,-0.05449500017283382,-0.07192824167740372,-0.052521397780854885,-0.024625736527403557,0.0004831528388259843,0.0011587337333243343,0.0486413810556289,-0.023356601987639575,-0.010558994818009789,0.043622113979022215,0.02766474486680875,-0.0006707722391190873,0.022629546609722852,0.030102087224080063,0.06083078070554358,0.06092416735957309,0.049138382377441614,0.06208050329852071,-0.052294043244268014,0.09511905732778565,0.02048682510272675,0.08380943820493637,0.0950890103812912,0.11448349319185108,0.06699269082644241,0.05338495717481157,0.10563012146363494,0.09395296467123465
year_to_date_return,-0.011603769519668634,-0.014695509017696784,0.020509446668356794,1.0,0.2266920061512629,0.1928365060947707,-0.07378946417355543,0.059858129651719744,0.11047566239925186,-0.10823159905321074,0.07610268871020899,0.11489392315297497,0.029909080733355718,0.05408867617974244,0.028672481859152808,-0.1737538582392917,0.045358118989102796,-0.011188386098606984,0.3290813818234421,0.24897670806914826,0.34803257658833736,0.24430092609351498,0.29333583258316936,0.05648396036756892,0.1355009531467404,0.2421282399527244,0.13645152054691997,0.47507749496567087,0.3206349245910131,0.3322069593401324,-0.34506912724497274,0.08207194301279802,0.9999173260067993,0.40731628103063633,0.3748373234531278,0.3542035121873532,0.3497677428553125,0.5574266416767887,0.4341183115753093,0.38234051227006244
week52_high,0.055236618664216586,-0.013118077478503774,0.21877706290651983,0.2266920061512629,1.0,0.9929850319173216,-0.13449621291582795,0.10268175327916909,0.053847933900928,-0.015452189178841984,-0.0016806540625216749,0.018071224717638078,-0.021982446642324863,-0.028215621003909494,-0.022302621290213705,-0.03126857577988274,0.008946550492283243,-0.023815032648142928,0.2878909788023512,-0.013207266005541028,0.08992453238121681,0.18936301276142542,0.06447669685795339,-0.05948248128711323,0.036215916960816406,0.1491345685478025,0.13785563811940701,0.2620481991417319,0.21154907365329678,0.24243977114126394,-0.1865607089697552,0.10350085744466835,0.2266290883096448,0.32554550738746735,0.32364806766236454,0.29394832691319256,0.10604799772176582,0.23472855049897853,0.16018999496636455,0.18184725317648012
week52_low,0.06000284882424572,-0.013721700016190027,0.23609756105458937,0.1928365060947707,0.9929850319173216,1.0,-0.13130912405547662,0.11116999530943968,0.04515627182017122,-0.02139777547695151,-0.01940480167999671,0.015640122644882497,-0.027678854218350063,-0.03626978777638721,-0.027838101230532448,-0.03598702180719763,0.004802469372730578,-0.019845975716582906,0.27427039109452345,-0.02076540935040741,0.08496634951292957,0.18840851050073712,0.05765948556934301,-0.06525283977858429,0.039864223359165986,0.13702732059849923,0.13419753288960545,0.25004431759865164,0.19793435184009814,0.231656028487489,-0.1702843905257634,0.10693568090244461,0.19276860389497372,0.3090277155249935,0.3090241234175708,0.2866964303759265,0.09817550992936176,0.21498077798987383,0.14859585288592397,0.17567619212214344
fund_yield,-0.0054412405239145185,0.021454085381466814,-0.01639864284504449,-0.07378946417355543,-0.13449621291582795,-0.13130912405547662,1.0,0.049591260098393895,0.11379757337223352,0.058079085330594096,-0.07735011054164954,0.012057229437857654,-0.02692468379088238,-0.027210522536430998,-0.021302451779257117,-0.011292612786566354,0.003635916431493684,0.0439237998451319,-0.29197469531782344,0.01854129396754205,-0.1812511411751078,-0.2102691741393336,-0.09660135642494427,0.17026403810702662,-0.062273167802652594,-0.218825727969554,-0.10577653384793315,-0.28681046875188776,-0.1761924887448114,-0.24230536810397849,0.1886434138290146,0.07074943187778207,-0.07384284358573259,-0.18007920957882226,-0.14516614654013407,-0.14725272791287797,-0.11394772567669048,-0.25560200128577015,-0.1500603934714155,-0.19831863590926466
morningstar_overall_rating,-0.008588135132990922,-0.0031238200468189136,0.11171348674986209,0.059858129651719744,0.10268175327916909,0.11116999530943968,0.049591260098393895,1.0,0.4250529576053667,-0.019063926102226333,-0.18821731734608574,0.1120664173030527,-0.11182920999916811,-0.11916254870574362,-0.08654195182420499,-0.11849774974505387,-0.006920015442443777,-0.0010868930887595666,0.0674153623173381,0.010551353894892895,-0.005147061571086411,0.0264341055162537,-0.004182829402125438,0.013108152484786752,-0.019417919381744173,0.03550272136910239,0.037169153473825815,0.062258600818664404,0.10630022717757778,0.049350268784414605,0.058515094407312875,0.9424842457839082,0.059850181085881096,0.43211893489541936,0.3160926754688778,0.234303084368573,0.035210310398449386,0.06788976691850376,0.03622854110771562,0.06017879502005303
morningstar_risk_rating,-0.024278788076153045,0.006102786631070151,-0.02743513589647689,0.11047566239925186,0.053847933900928,0.04515627182017122,0.11379757337223352,0.4250529576053667,1.0,0.0001410918876108142,0.046457227983519346,0.04355952687252513,-0.020900566591168793,-0.0019091739265700083,-0.006548975886455809,-0.08862164110466295,0.009462533045937744,-0.0323262374598268,-0.027703927320998897,0.00751801444170225,-0.025019725649759007,-0.033263102046049084,0.009284023291087339,0.07437787463496814,-0.08968812711678259,0.02032932491825015,0.011897838324364463,-0.042288466764224146,0.007842449503045598,-0.04532835031410617,0.10386728096801798,0.5458375298944566,0.11043598411872663,0.26854019692275627,0.2313968365156432,0.20542601835564456,-0.0010089581363401643,0.034442638264437976,0.09758943478730717,-0.003147931224974909
annual_holdings_turnover,-0.009935177553176555,0.0072201738454315415,-0.01525736653029473,-0.10823159905321074,-0.015452189178841984,-0.02139777547695151,0.058079085330594096,-0.019063926102226333,0.0001410918876108142,1.0,0.11831662807912376,0.06697312893316426,0.020471508065400157,0.0368775054239038,0.026492088901309437,0.2146752350506939,-0.029805860866451823,-0.006307056753020082,-0.09194415987581786,-0.009779109965174584,-0.09139779172456748,-0.0761293570316533,-0.04669882075159968,0.009452000257872371,-0.06595064267115655,-0.06531501208470086,-0.06093493746943645,-0.11981564543036324,-0.07233201560332883,-0.08198665085760598,0.018463442496420655,-0.011911920666800618,-0.10826314679032524,-0.10593778277788848,-0.09393747302513433,-0.08364532130927575,-0.08218686237352019,-0.11137598612614527,-0.09185148208896339,-0.10335565601559574
